Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Non Taxable,TAS,7007,534,515,"6,210,923",132,"125,166",1,863,0,0,0,0,0,0,1,"1,560",309,"3,040,963",273,"305,213",41,"57,467",2,"18,313",2,"27,903",59,"446,167",53,"604,547",5,"34,502",31,"543,277",300,"254,961",49,"9,125",131,"195,508",131,"83,777",520,"6,528,715"
Non Taxable,TAS,7008,"1,893","1,851","23,105,195",479,"587,259",5,"3,049",0,0,0,0,0,0,0,0,"1,021","9,836,777",888,"960,279",139,"182,085",2,"14,066",5,"17,209",303,"2,553,439",259,"2,876,688",15,"104,907",101,"2,007,977","1,009","1,000,479",142,"34,499",484,"690,636",483,"294,397","1,857","23,819,970"
Non Taxable,TAS,7009,"1,873","1,814","22,599,520",456,"458,504",3,888,0,0,0,0,0,0,0,0,"1,149","11,085,738","1,028","1,035,516",154,"219,046",9,"28,263",9,"12,958",428,"3,809,691",244,"3,013,427",16,"75,045",55,"1,036,749",776,"617,403",96,"14,735",334,"337,783",336,"143,551","1,818","23,233,742"
Non Taxable,TAS,7010,"2,253","2,182","28,041,732",602,"572,807",3,"1,309",0,0,0,0,0,0,1,"2,479","1,297","12,366,406","1,177","1,106,217",185,"163,449",7,"32,344",6,"21,278",501,"4,494,567",374,"4,831,773",19,"153,705",92,"1,573,946",910,"890,624",154,"19,814",494,"507,119",494,"217,189","2,186","28,631,135"
Non Taxable,TAS,7011,"1,752","1,711","22,742,669",507,"542,620",0,0,0,0,0,0,0,0,0,0,954,"10,134,165",855,"923,342",145,"163,457",5,"22,392",8,"7,086",361,"3,215,970",334,"4,459,291",6,"26,999",82,"1,552,345",633,"626,737",134,"28,991",460,"449,174",460,"194,293","1,712","23,375,118"
Non Taxable,TAS,7012,117,112,"1,413,542",28,"57,862",0,0,0,0,0,0,0,0,0,0,56,"528,263",48,"62,101",10,"12,642",0,0,0,0,18,"143,117",14,"187,746",3,"8,363",7,"104,742",50,"37,280",10,"2,111",33,"57,176",33,"24,515",113,"1,444,046"
Non Taxable,TAS,7015,"1,619","1,582","20,096,308",460,"634,573",0,0,0,0,0,0,0,0,0,0,631,"6,440,755",543,"564,378",103,"175,377",7,"21,321",1,"5,000",161,"1,229,498",314,"3,394,871",11,"94,055",140,"2,932,884",872,"1,262,467",247,"52,417",699,"1,271,886",697,"545,184","1,592","20,903,590"
Non Taxable,TAS,7016,274,267,"3,736,201",92,"86,635",0,0,0,0,0,0,0,0,0,0,165,"1,664,842",147,"130,526",26,"24,387",0,0,2,"19,825",75,"624,554",62,"894,308",1,"16,365",8,"170,105",66,"31,454",3,68,42,"17,915",42,"7,609",267,"3,808,533"
Non Taxable,TAS,7017,676,664,"7,693,832",171,"136,985",1,672,0,0,0,0,0,0,0,0,352,"3,938,205",319,"340,580",73,"105,923",2,"4,066",2,"4,445",83,"562,229",94,"1,090,576",6,"64,291",24,"417,820",323,"267,434",44,"6,997",191,"200,377",191,"84,704",664,"8,036,523"
Non Taxable,TAS,7018,"3,142","3,071","39,044,974",869,"1,196,263",2,"6,113",0,0,0,0,0,0,0,0,"1,407","14,663,798","1,218","1,292,553",209,"303,504",11,"26,396",5,"13,669",365,"2,962,280",585,"6,348,877",28,"173,882",239,"4,636,459","1,624","2,216,267",397,"105,251","1,205","2,047,967","1,203","875,936","3,077","40,431,331"
Non Taxable,TAS,7019,711,678,"9,210,920",206,"184,665",1,643,0,0,0,0,0,0,0,0,408,"4,314,289",361,"403,864",65,"124,826",3,"3,919",4,"8,336",193,"1,639,089",135,"1,853,789",1,"14,683",19,"369,918",231,"155,559",27,"8,772",119,"91,572",119,"38,467",680,"9,502,085"
Non Taxable,TAS,7020,354,340,"3,883,749",84,"80,752",0,0,0,0,0,0,0,0,0,0,165,"1,743,236",148,"190,298",35,"72,789",5,"12,734",3,"6,883",28,"197,829",41,"383,491",6,"38,676",19,"298,301",190,"233,972",34,"9,523",120,"154,330",120,"64,717",346,"4,111,395"
Non Taxable,TAS,7021,326,325,"4,614,691",93,"248,625",2,"7,969",0,0,0,0,0,0,0,0,163,"1,728,586",138,"146,452",25,"40,126",0,0,2,719,37,"255,315",61,"603,585",3,"16,844",27,"464,804",167,"213,194",37,"6,096",102,"114,799",102,"49,307",325,"4,729,666"
Non Taxable,TAS,7022,136,134,"1,882,942",42,"57,451",2,"1,314",0,0,0,0,0,0,0,0,62,"690,911",49,"56,463",12,"4,245",1,"12,761",0,0,20,"163,382",23,"305,496",3,"25,973",9,"172,786",62,"31,621",5,"1,218",39,"46,821",38,"20,060",134,"1,958,641"
Non Taxable,TAS,7023,62,61,"1,124,532",16,"175,632",1,"8,563",0,0,0,0,0,0,0,0,22,"221,848",18,"20,983",4,"37,274",1,"2,000",0,0,4,"34,704",8,"74,227",1,"11,488",2,"17,032",32,"18,781",8,346,26,"26,933",26,"11,605",61,"1,171,226"
Non Taxable,TAS,7024,64,63,"1,025,518",19,"67,777",2,"1,640",0,0,0,0,0,0,1,"2,442",36,"381,275",32,"45,490",7,"38,306",0,0,0,0,11,"100,780",3,"51,763",2,"10,629",7,"139,062",31,"30,645",6,354,22,"17,349",22,"7,390",64,"1,065,242"
Non Taxable,TAS,7025,305,293,"3,664,827",80,"86,236",1,540,0,0,0,0,0,0,0,0,143,"1,559,105",123,"150,949",27,"28,698",2,"2,969",1,"5,493",29,"193,526",48,"599,747",5,"15,042",11,"202,061",165,"164,634",35,"39,171",94,"134,322",93,"57,117",301,"3,884,289"
Non Taxable,TAS,7026,144,133,"1,711,408",39,"40,210",0,0,0,0,0,0,0,0,0,0,76,"847,793",67,"70,699",10,"4,094",0,0,0,0,23,"161,220",21,"266,270",4,"60,422",3,"65,181",64,"184,243",13,"1,493",29,"34,532",29,"14,793",141,"1,897,019"
Non Taxable,TAS,7027,33,30,"333,407",8,"6,844",0,0,0,0,0,0,0,0,0,0,18,"245,014",14,"15,331",3,159,0,0,0,0,3,"29,060",5,"78,125",0,0,1,"9,720",13,"6,745",2,209,9,"14,259",9,"5,696",31,"418,324"
Non Taxable,TAS,7030,"2,051","1,969","24,495,521",609,"596,403",0,0,0,0,0,0,0,0,0,0,"1,213","13,270,824","1,103","1,181,957",257,"335,230",10,"24,468",9,"27,284",469,"4,146,114",377,"5,095,955",7,"38,755",42,"710,047",689,"578,398",91,"38,999",412,"618,430",410,"261,797","1,987","26,033,681"
Non Taxable,TAS,7050,"1,915","1,864","23,826,689",520,"682,597",5,"3,117",0,0,0,0,0,0,0,0,956,"9,917,987",835,"945,929",163,"195,123",4,"6,959",4,"8,521",283,"2,292,068",303,"3,558,107",17,"103,313",116,"2,325,801","1,030","1,165,607",174,"45,297",505,"786,579",504,"337,709","1,877","25,200,221"
Non Taxable,TAS,7051,56,56,"855,115",25,"19,535",0,0,0,0,0,0,0,0,0,0,26,"308,341",20,"20,933",4,"20,977",0,0,0,0,7,"50,386",7,"85,529",2,"20,712",1,"21,492",28,"35,195",7,"2,088",18,"40,581",18,"17,389",56,"943,745"
Non Taxable,TAS,7052,"1,081","1,047","13,069,848",267,"346,125",3,"3,886",0,0,0,0,0,0,1,"1,005",532,"5,427,270",464,"446,674",106,"178,964",4,"11,637",1,"5,629",145,"1,131,420",165,"1,835,456",8,"52,902",60,"1,054,062",605,"708,613",113,"22,948",330,"488,499",330,"209,210","1,055","13,732,871"
Non Taxable,TAS,7053,574,558,"6,734,108",145,"186,275",3,"2,959",0,0,0,0,0,0,0,0,268,"2,567,420",225,"251,682",35,"56,042",1,260,2,"16,876",52,"412,386",66,"658,309",2,"2,142",55,"1,025,284",338,"545,601",94,"27,830",215,"378,598",215,"162,750",562,"7,079,957"
Non Taxable,TAS,7054,"1,216","1,172","14,306,261",309,"350,784",3,"1,479",0,0,0,0,0,0,0,0,592,"6,477,087",508,"627,857",114,"186,558",3,"9,708",5,"15,034",145,"1,111,286",179,"2,039,194",8,"69,315",54,"876,907",645,"722,767",112,"38,487",331,"485,500",331,"206,212","1,178","15,089,406"
Non Taxable,TAS,7055,45,42,"565,771",13,"18,465",0,0,0,0,0,0,0,0,0,0,22,"249,053",21,"15,944",2,"20,547",0,0,0,0,10,"74,505",8,"88,614",1,"4,384",3,"84,545",21,"5,463",1,26,7,"6,221",7,"2,664",42,"573,663"
Non Taxable,TAS,7109,"1,465","1,411","16,410,055",361,"368,237",1,"2,396",0,0,0,0,0,0,0,0,686,"7,236,079",610,"748,978",124,"226,934",4,"13,317",4,"2,404",218,"1,659,313",231,"3,116,796",5,"43,982",41,"650,183",767,"984,044",115,"30,650",354,"460,373",353,"193,303","1,421","17,316,628"
Non Taxable,TAS,7112,542,518,"6,470,626",156,"147,067",0,0,0,0,0,0,0,0,0,0,239,"2,190,704",211,"251,993",36,"88,288",3,"3,734",5,"36,340",114,"1,084,140",94,"1,186,781",5,"41,684",13,"313,417",274,"309,434",40,"21,877",125,"142,850",125,"60,245",522,"6,831,753"
Non Taxable,TAS,7113,178,170,"1,926,937",43,"38,331",0,0,0,0,0,0,0,0,0,0,86,"764,948",79,"79,114",10,"27,360",1,497,2,"2,977",31,"241,230",27,"372,549",0,0,3,"65,134",80,"56,124",14,"1,827",39,"58,908",38,"25,237",171,"2,021,074"
Non Taxable,TAS,7116,391,377,"4,784,881",111,"90,265",1,146,0,0,0,0,0,0,0,0,160,"1,637,397",148,"183,808",30,"98,052",1,"1,120",0,0,71,"604,293",80,"1,025,606",2,"19,400",9,"183,039",192,"290,957",36,"12,055",113,"214,241",113,"91,297",381,"5,019,706"
Non Taxable,TAS,7117,150,143,"1,732,450",42,"27,808",0,0,0,0,0,0,0,0,0,0,66,"681,485",59,"80,696",10,"27,249",0,0,4,"10,300",22,"177,194",34,"426,508",0,0,1,"19,378",69,"142,561",16,"3,968",30,"60,928",30,"25,781",145,"1,793,525"
Non Taxable,TAS,7120,300,282,"3,162,396",67,"66,205",1,606,0,0,0,0,0,0,0,0,138,"1,452,690",129,"173,449",35,"100,292",3,"8,293",2,"5,123",63,"551,133",58,"799,771",0,0,5,"87,980",138,"108,293",19,"4,296",60,"43,279",57,"18,485",295,"4,438,853"
Non Taxable,TAS,7140,"1,523","1,458","18,266,236",428,"495,317",2,"1,985",1,568,0,0,0,0,1,"7,338",781,"8,282,381",696,"879,224",129,"281,460",7,"37,957",5,"15,373",314,"2,791,922",268,"3,572,224",16,"85,649",47,"804,978",589,"668,419",104,"17,363",350,"449,830",350,"191,184","1,482","19,500,957"
Non Taxable,TAS,7150,472,459,"5,648,826",113,"236,777",1,"6,917",0,0,0,0,0,0,0,0,202,"2,174,252",165,"243,738",30,"47,235",2,"1,533",1,"3,879",68,"500,070",73,"829,129",1,"8,582",24,"438,685",277,"277,579",48,"13,282",134,"175,856",134,"75,016",467,"6,170,956"
Non Taxable,TAS,7155,155,151,"1,964,010",44,"42,647",0,0,0,0,0,0,0,0,0,0,56,"533,548",45,"47,941",11,"38,841",2,"5,488",0,0,10,"59,586",34,"396,042",0,0,5,"106,686",99,"112,143",28,"13,119",67,"146,956",67,"62,530",151,"2,068,392"
Non Taxable,TAS,7162,133,129,"1,591,004",38,"51,440",0,0,0,0,0,0,0,0,0,0,49,"422,822",41,"43,842",9,"42,727",0,0,1,"1,050",10,"83,066",23,"170,418",2,"19,682",6,"141,582",87,"192,253",15,"17,594",55,"171,929",55,"71,255",131,"1,653,987"
Non Taxable,TAS,7163,63,61,"531,041",12,"6,638",0,0,0,0,0,0,0,0,0,0,19,"163,448",15,"19,905",5,"26,990",0,0,0,0,7,"61,642",19,"237,633",0,0,2,"31,096",37,"33,774",3,767,16,"28,303",16,"12,117",61,"560,827"
Non Taxable,TAS,7170,707,687,"8,284,023",175,"186,481",1,30,0,0,0,0,0,0,0,0,363,"4,069,981",303,"398,106",52,"16,367",6,"13,501",3,"4,588",63,"475,045",116,"1,198,685",6,"22,019",44,"790,923",378,"424,375",76,"18,473",213,"335,553",213,"143,143",690,"8,709,017"
Non Taxable,TAS,7171,381,366,"4,707,388",97,"101,496",1,293,0,0,0,0,0,0,0,0,204,"2,319,522",188,"209,625",35,"17,002",4,"11,830",2,"5,211",57,"491,331",75,"964,586",1,"1,057",20,"332,781",172,"191,304",31,"4,432",93,"55,107",93,"23,505",369,"4,888,031"
Non Taxable,TAS,7172,509,493,"6,101,932",140,"150,197",0,0,0,0,0,0,0,0,0,0,256,"2,994,556",227,"281,813",51,"129,501",2,"17,365",2,"1,661",81,"617,297",97,"1,262,024",14,"73,919",22,"414,206",231,"284,083",48,"6,130",123,"372,182",123,"159,073",499,"6,747,303"
Non Taxable,TAS,7173,900,872,"12,374,643",282,"444,294",3,"10,599",0,0,0,0,0,0,0,0,446,"5,225,018",391,"627,317",72,"131,903",4,"19,572",5,"3,514",171,"1,406,375",161,"1,973,787",10,"71,618",35,"603,539",425,"378,598",61,"6,268",215,"178,328",215,"75,622",881,"13,108,269"
Non Taxable,TAS,7174,30,28,"468,276",12,"11,977",0,0,0,0,0,0,0,0,0,0,13,"214,826",13,"35,108",4,"6,030",0,0,0,0,3,"22,883",9,"130,612",0,0,0,0,16,"40,374",3,407,10,"13,197",10,"5,653",29,"555,605"
Non Taxable,TAS,7175,38,38,"531,453",14,"13,091",0,0,0,0,0,0,0,0,0,0,22,"195,339",21,"19,525",2,"1,390",0,0,0,0,7,"56,843",5,"59,225",0,0,1,"19,442",23,"11,419",3,290,9,"21,727",9,"9,310",38,"542,821"
Non Taxable,TAS,7176,22,22,"272,490",6,"3,988",0,0,0,0,0,0,0,0,0,0,10,"80,734",9,"9,458",1,36,0,0,0,0,2,"23,976",3,"35,389",0,0,1,"13,297",9,"29,579",2,89,8,"2,960",8,"1,266",21,"274,397"
Non Taxable,TAS,7177,56,52,"714,827",19,"15,615",0,0,0,0,0,0,0,0,0,0,26,"226,459",23,"24,354",5,"13,385",0,0,0,0,8,"70,427",10,"116,085",0,0,2,"59,924",26,"73,778",3,178,15,"34,211",15,"14,365",52,"740,991"
Non Taxable,TAS,7178,53,51,"686,494",18,"17,608",0,0,0,0,0,0,0,0,0,0,21,"247,349",18,"23,865",3,"14,503",0,0,0,0,3,"35,383",9,"153,755",0,0,2,"19,177",25,"23,223",6,"4,241",15,"24,781",15,"10,877",50,"728,304"
Non Taxable,TAS,7179,67,65,"819,613",20,"21,867",0,0,0,0,0,0,0,0,0,0,21,"206,678",19,"22,271",4,"10,195",0,0,0,0,4,"29,816",12,"135,300",0,0,6,"103,938",41,"92,138",11,"1,956",23,"36,420",23,"15,639",66,"866,085"
Non Taxable,TAS,7180,35,35,"427,086",11,"7,435",0,0,0,0,0,0,0,0,0,0,11,"151,579",10,"9,478",2,"13,190",0,0,0,0,4,"34,939",8,"119,863",1,"17,108",1,"12,948",16,"43,381",3,66,14,"8,946",14,"3,829",35,"463,830"
Non Taxable,TAS,7182,39,38,"412,436",13,"10,537",0,0,0,0,0,0,0,0,0,0,13,"126,929",8,"3,974",1,"1,240",0,0,0,0,5,"31,026",12,"170,968",0,0,2,"46,779",20,"31,166",1,17,11,"3,773",11,"1,452",38,"417,909"
Non Taxable,TAS,7184,132,129,"1,905,008",47,"46,974",0,0,0,0,0,0,0,0,0,0,56,"678,759",54,"51,019",10,"71,126",0,0,0,0,23,"227,531",27,"378,589",2,"4,454",11,"196,154",60,"43,131",11,"1,030",28,"12,477",28,"5,036",131,"2,066,683"
Non Taxable,TAS,7185,12,12,"144,378",3,"1,396",0,0,0,0,0,0,0,0,0,0,5,"33,469",5,"1,443",1,445,0,0,0,0,3,"48,310",1,"18,943",0,0,0,0,6,"16,125",1,192,3,"8,072",3,"3,458",12,"149,198"
Non Taxable,TAS,7186,26,26,"139,477",4,"2,141",0,0,0,0,0,0,0,0,0,0,7,"78,414",6,"7,524",1,24,0,0,0,0,1,"13,416",3,"45,021",0,0,0,0,9,"15,886",2,24,7,"1,318",7,639,26,"140,573"
Non Taxable,TAS,7187,34,34,"453,097",11,"21,723",2,"1,269",0,0,0,0,0,0,0,0,12,"124,324",11,"11,200",1,273,0,0,0,0,3,"31,457",3,"41,178",0,0,1,"37,279",19,"12,119",5,165,7,"8,875",7,"3,794",34,"457,817"
Non Taxable,TAS,7190,609,585,"6,651,082",170,"177,427",1,251,0,0,0,0,0,0,1,801,263,"2,742,333",220,"253,208",54,"235,103",1,"3,053",1,"1,296",59,"465,068",105,"1,389,149",5,"38,565",29,"652,309",296,"354,702",93,"15,329",193,"253,407",191,"104,800",590,"7,157,134"
Non Taxable,TAS,7209,77,71,"801,657",19,"21,370",0,0,0,0,0,0,0,0,0,0,29,"279,187",23,"29,806",0,0,0,0,0,0,11,"90,277",18,"270,781",0,0,1,"12,610",41,"40,882",10,920,19,"11,250",19,"4,814",74,"932,192"
Non Taxable,TAS,7210,166,159,"1,359,513",49,"47,544",1,739,0,0,0,0,0,0,0,0,90,"1,029,412",81,"90,495",23,"15,197",0,0,0,0,29,"278,666",31,"442,214",1,"12,389",3,"46,681",75,"70,359",16,"2,757",40,"48,798",40,"20,963",162,"2,006,430"
Non Taxable,TAS,7211,34,32,"398,801",14,"12,214",0,0,0,0,0,0,0,0,0,0,21,"224,056",18,"31,183",8,"5,134",0,0,0,0,9,"85,463",5,"89,603",1,"8,400",0,0,11,"5,851",3,210,6,"7,611",6,"3,260",34,"428,097"
Non Taxable,TAS,7212,299,288,"3,600,251",82,"93,683",1,274,0,0,0,0,0,0,0,0,140,"1,496,671",117,"153,986",26,"75,334",1,"7,260",0,0,51,"462,389",48,"675,287",0,0,9,"144,918",147,"169,093",24,"6,498",90,"136,230",90,"55,888",293,"4,097,117"
Non Taxable,TAS,7213,46,42,"450,869",14,"9,688",0,0,0,0,0,0,0,0,0,0,24,"312,359",18,"32,616",8,"44,457",0,0,0,0,14,"147,206",2,"34,452",0,0,0,0,14,"19,113",4,201,5,942,5,402,43,"834,598"
Non Taxable,TAS,7214,81,78,"954,271",22,"24,351",1,445,0,0,0,0,0,0,0,0,38,"315,858",32,"28,497",7,"9,336",1,"1,158",1,574,17,"159,300",12,"150,305",2,"7,120",7,"105,167",39,"49,094",3,69,16,"14,410",16,"6,169",78,"973,578"
Non Taxable,TAS,7215,652,633,"8,296,945",193,"185,722",1,886,0,0,0,0,0,0,1,"2,418",266,"2,678,024",232,"235,040",48,"142,771",1,"1,268",1,165,113,"1,025,823",116,"1,519,919",6,"62,109",20,"352,844",365,"504,404",49,"20,382",160,"260,280",159,"111,533",642,"8,879,453"
Non Taxable,TAS,7216,649,630,"8,548,876",180,"243,056",0,0,0,0,0,0,0,0,1,"4,807",253,"2,519,773",212,"250,034",62,"46,166",1,8,3,"1,780",146,"1,382,108",136,"1,698,095",7,"81,897",27,"444,950",344,"438,647",53,"10,115",167,"278,824",167,"117,455",638,"9,010,898"
Non Taxable,TAS,7248,"2,141","2,080","27,489,337",581,"533,480",3,"4,132",0,0,0,0,0,0,0,0,"1,406","13,406,857","1,278","1,299,005",210,"237,495",16,"31,220",10,"6,780",715,"6,048,378",289,"3,677,295",5,"23,352",43,"815,330",833,"439,130",73,"13,358",273,"242,269",272,"105,214","2,086","28,373,187"
Non Taxable,TAS,7249,"1,497","1,463","19,519,972",448,"458,369",0,0,0,0,0,0,0,0,0,0,794,"8,408,714",705,"702,631",119,"157,278",7,"18,868",9,"49,063",290,"2,323,850",293,"3,660,409",14,"90,188",56,"1,015,565",683,"749,728",128,"27,510",403,"560,443",399,"240,002","1,468","20,052,565"
Non Taxable,TAS,7250,"6,698","6,513","86,796,882","1,951","2,545,276",16,"33,084",2,"6,444",0,0,0,0,0,0,"3,393","35,867,042","2,943","3,286,522",500,"895,750",26,"88,849",32,"39,194","1,236","10,538,447","1,155","14,210,018",36,"291,433",278,"4,931,866","3,228","3,883,616",588,"133,682","1,873","3,039,369","1,873","1,297,258","6,552","91,433,172"
Non Taxable,TAS,7252,402,386,"5,097,409",116,"223,346",1,"3,727",0,0,0,0,0,0,0,0,175,"2,282,460",155,"299,687",27,"91,867",3,"13,334",2,"3,128",44,"336,597",68,"856,276",4,"27,959",16,"275,894",219,"349,421",42,"6,895",127,"182,761",127,"78,057",390,"5,332,581"
Non Taxable,TAS,7253,637,611,"8,329,923",181,"187,736",1,697,0,0,0,0,0,0,0,0,340,"3,440,470",300,"332,650",44,"55,688",7,"19,288",2,337,175,"1,680,853",118,"1,673,896",2,"3,508",10,"217,627",224,"240,622",35,"4,900",113,"175,699",113,"74,339",617,"8,608,569"
Non Taxable,TAS,7254,78,77,"606,246",17,"13,235",0,0,0,0,0,0,0,0,0,0,40,"627,166",40,"71,354",8,"20,779",0,0,0,0,12,"88,806",10,"160,978",1,163,1,"11,614",33,"27,504",6,242,19,"9,152",19,"3,659",78,"638,330"
Non Taxable,TAS,7255,172,164,"1,863,030",53,"63,478",0,0,0,0,0,0,0,0,0,0,62,"713,410",53,"82,457",15,"85,001",0,0,0,0,9,"69,766",34,"431,251",2,"5,920",5,"82,735",110,"166,832",19,"29,183",46,"76,736",46,"32,175",171,"2,090,797"
Non Taxable,TAS,7256,269,261,"3,458,306",107,"108,548",1,160,0,0,0,0,0,0,0,0,131,"1,690,352",114,"219,772",23,"39,653",1,"7,314",3,"6,076",26,"211,831",59,"694,862",0,0,4,"49,336",156,"248,918",21,"6,978",57,"128,580",57,"53,416",266,"3,720,412"
Non Taxable,TAS,7258,127,123,"1,391,854",27,"31,646",1,217,0,0,0,0,0,0,0,0,63,"699,359",56,"88,574",9,"5,768",0,0,0,0,8,"46,469",14,"169,121",2,"10,988",5,"126,040",69,"88,037",11,"11,769",30,"104,487",30,"42,774",125,"1,521,760"
Non Taxable,TAS,7259,68,64,"754,535",18,"14,019",0,0,0,0,0,0,0,0,0,0,34,"403,187",31,"34,168",7,"6,662",1,"1,311",0,0,12,"65,899",8,"127,011",2,"3,412",3,"84,851",29,"38,260",9,616,21,"13,442",21,"5,753",67,"806,142"
Non Taxable,TAS,7260,518,491,"6,050,795",144,"121,008",2,"1,010",0,0,0,0,0,0,0,0,264,"2,944,067",229,"262,247",38,"54,231",0,0,0,0,100,"914,133",79,"1,038,476",2,"2,846",12,"217,231",253,"230,408",38,"4,908",102,"163,815",101,"69,820",511,"6,677,356"
Non Taxable,TAS,7261,58,53,"704,079",15,"12,554",0,0,0,0,0,0,0,0,0,0,28,"288,976",24,"37,981",2,"2,734",0,0,0,0,8,"82,602",10,"140,408",1,"7,226",3,"58,479",28,"17,857",3,287,8,"11,858",8,"5,082",55,"835,697"
Non Taxable,TAS,7262,266,255,"2,530,594",79,"74,470",0,0,0,0,0,0,0,0,0,0,118,"1,339,872",100,"118,008",18,"53,054",0,0,1,319,40,"332,605",54,"666,835",0,0,7,"152,969",134,"227,131",29,"33,077",60,"84,134",60,"36,068",257,"2,702,116"
Non Taxable,TAS,7263,121,116,"1,072,683",38,"65,119",1,709,0,0,0,0,0,0,0,0,55,"676,562",46,"76,874",12,"20,751",0,0,0,0,21,"203,204",25,"318,172",2,"10,855",2,"18,783",66,"39,921",8,511,22,"23,357",22,"10,002",121,"1,250,486"
Non Taxable,TAS,7264,108,102,"1,404,811",32,"71,140",1,"1,208",0,0,0,0,0,0,0,0,54,"564,496",47,"58,914",13,"22,703",2,"7,201",0,0,24,"199,918",13,"178,722",1,"2,871",2,"39,406",50,"71,923",1,7,12,"10,207",12,"4,250",104,"1,501,795"
Non Taxable,TAS,7265,45,44,"487,131",12,"9,760",0,0,0,0,0,0,0,0,0,0,21,"194,071",16,"18,339",4,"29,509",0,0,0,0,7,"64,804",6,"102,045",1,788,1,"8,093",18,"4,556",8,674,11,"30,198",11,"12,915",44,"500,313"
Non Taxable,TAS,7267,110,107,"1,096,819",28,"22,174",0,0,0,0,0,0,0,0,0,0,53,"646,869",45,"67,365",13,"23,385",0,0,0,0,26,"200,684",18,"180,767",2,"3,074",2,"43,739",53,"32,592",9,"1,307",21,"34,027",21,"14,579",107,"1,238,448"
Non Taxable,TAS,7268,182,176,"2,092,180",44,"67,093",1,"2,477",0,0,0,0,0,0,0,0,81,"978,592",75,"86,253",8,"8,471",1,"3,978",0,0,31,"246,598",39,"450,065",2,"7,241",6,"109,794",91,"117,508",7,359,39,"35,220",39,"15,086",179,"2,230,399"
Non Taxable,TAS,7270,667,640,"8,521,011",190,"321,553",1,943,0,0,0,0,0,0,0,0,311,"3,396,138",276,"337,940",47,"146,848",3,"11,352",3,"19,042",144,"1,253,597",137,"1,711,050",3,"8,642",27,"501,537",311,"368,718",44,"9,922",138,"163,409",136,"68,817",648,"8,982,496"
Non Taxable,TAS,7275,555,536,"6,780,928",146,"240,673",2,"1,012",0,0,0,0,0,0,0,0,254,"2,977,385",218,"323,268",51,"165,654",2,"3,477",2,"3,125",70,"589,944",105,"1,288,001",3,"29,235",18,"327,408",295,"285,540",40,"13,561",129,"172,216",129,"73,682",543,"7,230,608"
Non Taxable,TAS,7276,93,91,"1,212,354",31,"31,552",0,0,0,0,0,0,0,0,0,0,45,"503,995",39,"52,627",8,"21,671",0,0,0,0,15,"131,853",19,"250,492",1,"7,860",6,"124,774",45,"42,545",8,"1,001",25,"29,444",25,"12,617",91,"1,248,548"
Non Taxable,TAS,7277,869,847,"10,364,139",247,"209,588",4,"2,612",0,0,0,0,0,0,0,0,385,"4,421,340",329,"364,520",64,"221,427",2,682,2,"1,156",92,"773,193",137,"1,467,699",8,"92,958",30,"560,841",475,"550,734",89,"23,185",270,"587,842",270,"249,186",853,"11,017,626"
Non Taxable,TAS,7290,278,274,"3,530,488",85,"84,142",0,0,0,0,0,0,0,0,0,0,162,"1,710,094",148,"160,660",19,"6,738",2,"8,957",2,"2,442",36,"327,671",48,"620,621",2,"11,978",8,"141,553",133,"85,452",13,896,65,"41,286",65,"17,593",275,"3,612,989"
Non Taxable,TAS,7291,76,75,"855,157",15,"15,427",0,0,0,0,0,0,0,0,0,0,38,"625,586",36,"79,087",5,"6,203",0,0,0,0,13,"101,474",12,"140,692",0,0,1,"10,482",42,"52,499",7,519,19,"15,156",19,"6,492",75,"919,418"
Non Taxable,TAS,7292,113,104,"657,128",25,"20,034",0,0,0,0,0,0,0,0,0,0,44,"745,865",36,"123,682",11,"96,472",0,0,1,"2,475",7,"29,321",4,"71,375",0,0,3,"50,657",61,"74,529",18,"1,275",38,"45,600",38,"19,582",111,"886,935"
Non Taxable,TAS,7300,425,419,"5,400,051",119,"101,073",0,0,0,0,0,0,0,0,0,0,247,"2,729,631",217,"263,850",49,"81,751",2,"1,065",3,"2,620",56,"410,555",77,"1,050,521",4,"12,597",7,"128,527",201,"141,946",34,"2,483",119,"143,376",119,"61,592",419,"5,628,071"
